DishId,RestaurantId,Price,Name
1,1,8,Abby's Moonbeam Madness
2,2,9,The UPS Store: Package Protector
3,3,14,Bulls-Eye BBQ Ribs
4,4,14,Raspberry Pistachio Tart
5,5,7,Valley Vista IPA
6,6,14,Chili Cheese Coney
7,7,10,Step Up Stilettos
8,8,10,Sabbath Salmon
9,9,14,Sizzling Bacon Ranch Burger
10,10,14,Sonic Drive-In: Cherry Limeade
11,11,13,Sizzling Southwest Skillet
12,12,7,Banh Mi Bliss Burger
13,13,14,Moons Over My Hammy
14,14,15,Minty Fresh Lentil Soup
15,15,9,Zio's Italian Market Delight
16,16,8,Ocean's Symphony Tuna Salad
17,17,11,Desert Breeze Grill
18,18,9,Herb-Infused Olive Oil
19,19,11,Drive-Thru Delight
20,20,5,Spicy Honey Glazed Chicken Wings
21,21,5,Roast Blend of the Day
22,22,12,Bookworm's Bounty
23,23,8,Flaming Dragon Roll
24,24,8,Truffle Mushroom Risotto
25,25,8,Super Dog's Loaded Nacho Dog
26,26,11,Spicy Paws Curry
27,27,8,Trendy Tofu Tacos
28,28,15,Matcha Mochi Cake
29,29,10,Savory Stuffed Dates
30,30,13,Cheesy Garlic Bread Twists
31,31,12,Trampoline Supreme Jump Burger
32,32,6,Main Street Pasta
33,33,13,Shimmering Salsa Dress
34,34,15,Ardmore Pizza Special
35,35,12,Whiskey-Glazed Salmon
36,36,10,Artisan Apple Tart
37,37,6,Hawaiian Luau Burger
38,38,7,T-Mobile Tasty Tacos
39,39,14,Wonder Works Stir Fry Surprise
40,40,14,Sierra Pro Events Special Salad
41,41,15,Diamond Hair Company: Sapphire Shine Shampoo
42,42,9,Mamma Mia Meatballs
43,43,9,"""Elegant Esquire Eggplant Parmesan"""
44,44,14,Vitality Vegan Wrap
45,45,8,Ocean Breeze Salad
46,46,5,Dragon Fire Chicken
47,47,13,Neon Dream Latte
48,48,8,Truffle Brie Grilled Cheese
49,49,10,Ocean's Bounty Platter
50,50,12,Roma's Rustic Ravioli
51,51,10,Muscle Macaroni Salad
52,52,15,Jennie's Savory Delights
53,53,8,Harvest Oat Loaf
54,54,13,Purrfect Paw-sitively Purr-geous Catnip Cupcakes
55,55,15,Savory Spring Salad
56,56,15,Savory Sunrise Breakfast Bowl
57,57,7,Berry Blast Shake
58,58,13,LensCrafters - Crystal Clear Vision Glasses
59,59,9,Imperium Pizza
60,60,9,Cheesy Garlic Knots
61,61,9,Lafitte's Landing Seafood House: Cajun Crab Cakes
62,62,6,Mountain Maple Bacon Burger
63,63,14,Crispy Ale Battered Pickles
64,64,10,Homework Helper Backpack
65,65,13,Oyster Delight
66,66,9,Creole Crawfish Étouffée
67,67,7,Roy's Appliance Repair & Refurbished Refrigerators
68,68,6,Revved Up Ribs
69,69,7,Cocoa Crunch Truffles
70,70,8,Southern Fried Chicken Tenders
71,71,15,Margarita Madness
72,72,10,Starry Night Sparkle Placemat
73,73,12,"""The Gold Card Mocha"""
74,74,8,Sharky's Slammin' Sliders
75,75,5,Rose Petal Manicure
76,76,11,Smokey Mountain Burger
77,77,9,Zesty Ziti Casserole
78,78,5,Challenge Accepted Burger
79,79,14,Pesto Caprese Panini
80,80,10,Slam Dunk Nachos
81,81,9,Ocean's Delight Seafood Platter
82,82,8,Hops-infused Pretzel Bites
83,83,13,Gobbler Sandwich
84,84,12,"""Dragon Roll Supreme"""
85,85,8,Midnight Special Lock burger
86,86,6,Herb-Crusted Ciabatta
87,87,5,Squeaky Clean Paws Shampoo
88,88,13,Copper Vine Harvest Risotto
89,89,9,Garden Green Salad
90,90,9,Icy Delight Sundae
91,91,10,Vintage Tea Set
92,92,13,Metallic Molten Mocha Madness
93,93,14,"""Madison Plaid Flannel Shirt"""
94,94,11,Creamy Truffle Pasta
95,95,5,Perfectly Spiced Chicken Wings
96,96,10,Beats Burger
97,97,10,Lemon Glazed Salmon
98,98,11,Iceberg lettuce salad
99,99,7,"""Paradise Pork Tacos"""
100,100,6,Mama Mia Spaghetti and Meatballs
101,101,9,Relax & Rejuvenate Massage Oil
102,102,8,Luxury Blueberry Cheesecake
103,103,13,Crab-stuffed Shrimp Burst
104,104,7,Cajun Shrimp Po-Boy
105,105,6,Carnitas Street Tacos
106,106,11,Express Envelopes
107,107,5,Pearl's Harvest Bowl
108,108,6,Dustless Delight
109,109,8,Pest-B-Gone Potluck Platter
110,110,13,Flavorful Fiesta Chorizo
111,111,10,Sunset Seafood Risotto
112,112,9,Clear Vision Blue Light Blocking Glasses
113,113,14,Frosty Cold Lager Soup
114,114,15,Berry Blast Smoothie
115,115,5,"""Walmart Supercenter Special Chicken Salad"""
116,116,15,Trendy Frames
117,117,5,Lakefront Lemonade
118,118,10,Giant Meatball Sub
119,119,8,Monogrammed Travel Tumbler
120,120,10,Nashville Hot Chicken Tacos
121,121,15,Belle's Butt Balm
122,122,7,Fruit Oasis Salad
123,123,15,Smoky Chipotle Chicken Wrap
124,124,13,Barber's Special Steak Sandwich
125,125,7,Reflected Raspberry Cheesecake
126,126,7,Wholesome Harvest Salad
127,127,6,"""Papa's Pizza Pockets"""
128,128,5,Auto Care Apple Pie
129,129,11,Spine-tingling Shrimp Scampi
130,130,9,Pub Nachos
131,131,11,Dragon Fire Shrimp
132,132,8,Mamma Mia Meatballs
133,133,5,Rookie Triple Play Tacos
134,134,12,Cookie Dough Delight
135,135,11,Super Saver Stir-Fry
136,136,6,Sparkling Salmon Salad
137,137,5,Revved-Up Rotor Replacement
138,138,10,Southern Comfort Shrimp Grits
139,139,12,Power Punch Energy Drink
140,140,12,Roasted Vegetable Quinoa Salad
141,141,8,Rainbow Sprinkle Explosion Cake
142,142,13,Ocean's Bounty Platter
143,143,5,Gower's Gourmet Meatloaf
144,144,6,Trail Mix Pecan Bars
145,145,9,Tipsy Chicken Wings
146,146,14,Bicol Express Beef Stew
147,147,7,Healing Chicken Soup
148,148,9,Berry Bliss Yogurt
149,149,9,Pawsitively Tasty Treats
150,150,8,"""P's & Q's - Premium Quality"""
151,151,12,Glamour Gabardine Pants
152,152,7,Sakura Dragon Roll
153,153,6,Dino-Mite Playset
154,154,6,Chipotle Chicken Bowl
155,155,7,Nourishing Nectar
156,156,11,Mansion Macarons
157,157,9,Serenity Bliss Body Scrub
158,158,6,Jumbo Chicken Parmesan
159,159,14,TD Crunchy Chicken Sandwich
160,160,6,Cerveza Jack's: Spicy Sriracha Honey Wings
161,161,11,Shiny Chrome Bites
162,162,15,Crispy Chicken Sandwich
163,163,12,Dream Weaver's Quilted Delight
164,164,15,Whiskey BBQ Beef Brisket
165,165,11,Something Special's Signature Surf and Turf
166,166,5,Sweet Heat Cowboy Burger
167,167,12,Urgent Care Curry
168,168,14,Bella Pesto Linguine
169,169,11,Bighorn Burger
170,170,10,Rainbow Sherbet Lip Balm
171,171,9,Inky Charcoal Burger
172,172,14,Vinyl Beats Salad
173,173,15,Firestone Fusion Chili
174,174,15,Zen Garden Salad
175,175,13,Zen Bowl
176,176,12,Midnight Madness Margarita
177,177,15,Sparkling White Linen Spray
178,178,7,Savory Mushroom Quiche
179,179,10,Spine-Aligning Spinach Salad
180,180,6,Royal Twist Hair Extensions
181,181,11,Wilderness Chicken Ranch Wrap
182,182,12,Gaylord Opryland Feast of the South Buffet
183,183,10,Lemon Sorbet Delight
184,184,12,Stylish Steel Stovetop
185,185,10,Global Fusion Bowl
186,186,11,Smoky Jalapeno Ribs
187,187,7,Sakura Roll
188,188,9,Choco Nut Dream Doughnut
189,189,8,Zesty Citrus Chicken Tenders
190,190,14,Cheesy Garlic Bread Twists
191,191,5,Giant's Garden Vegetable Stir-Fry
192,192,14,Mama Mia Meatball Sub
193,193,8,Essential Home Dinnerware Set
194,194,9,Big Mac Supreme
195,195,13,Pest-Proof Pancakes
196,196,8,West Coast Roofing - Sunset Salmon Salad
197,197,8,Cranky Cowboy Burger
198,198,8,Ocean's Bounty Platter
199,199,7,Shrimp on the Barbie
200,200,9,Spicy Chicken Sandwich
201,201,12,Dragon Fire Chicken
202,202,11,Crystal Clear Windshield Washing Solution
203,203,14,Bagelicious - King Of Prussia
204,204,5,Pet Purrfection Shampoo
205,205,11,Crystal Mint Mouthwash
206,206,13,"""Zombie Fuel Cold Brew"""
207,207,7,"""Berry Bliss Pancakes"""
208,208,6,The Full House Special
209,209,9,Carpet One Floor & Home Hand-Woven Area Rug
210,210,15,Mad Griddle's Fluffy Pancake Stack
211,211,9,Floral Fusion Salad
212,212,14,Music City Nachos
213,213,7,Blissful Berry Smoothie
214,214,14,Grilled Philly Cheesesteak
215,215,6,Barber Blend Steakhouse
216,216,12,Sereni-Tea Blend
217,217,11,Magic Toy Castle
218,218,15,Rug Revival Shampoo
219,219,13,Sprinkleberry Dream Donuts
220,220,6,Mountaintop Delight
221,221,11,Pain Relief Chicken Soup
222,222,6,Tomo's Sizzling Samurai Roll
223,223,12,Spicy Tidal Wave
224,224,12,Sapling Surprise
225,225,13,Irish Stout Beef Stew
226,226,5,RV Roadtripper's Meatloaf
227,227,7,Colombo's Truffle Risotto
228,228,11,Sandy Shores Salmon.
229,229,12,Smokey Bourbon BBQ Ribs
230,230,6,Savory Sunrise Omelette
231,231,10,Shiny Chrome Wheel Polish
232,232,6,Spicy Chipotle Chicken Tacos
233,233,13,Jaguar Nashville Star Burger
234,234,13,Royal Honey Wax 
235,235,7,Cheesy Garlic Bread Twists
236,236,14,Sunrise Citrus Tea Blend
237,237,12,Savory Mushroom Risotto
238,238,14,Boxed Bliss Cookies
239,239,7,Budget Bites
240,240,5,Royal Ruby Salad
241,241,9,Berry Blast Smoothie
242,242,10,Rubber Ribeye
243,243,14,Selmon's Southern Sampler
244,244,11,Flaming Fletcher Fajitas
245,245,12,Deluxe Espresso Machine
246,246,7,Whispers of Spring salad
247,247,13,Watson's Mystery Muffins
248,248,15,Smokey Maple Ribs
249,249,5,Metal Meltdown Burger
250,250,10,Shanghainese Pork Dumplings
251,251,15,Lustrous Lobster Manicure
252,252,9,Furball Feast
253,253,5,Blissful Banana Bites
254,254,9,Cosmic Calzone
255,255,6,Field of Glory Salad
256,256,5,Flexi-Bowl
257,257,15,Creamy Caramel Latte
258,258,9,Beauty Boost Serum
259,259,13,Savory Sunrise Sandwich
260,260,15,Spicy Mexican Sampler
261,261,15,Endocrine Elixir
262,262,11,Fairway Feast
263,263,9,Fit Fuel Salad Bowl
264,264,8,Marlin Ceviche
265,265,15,Cheesy Garlic Breadsticks
266,266,6,Radiant Ray Pasta
267,267,15,Amber Rye Bread
268,268,11,The Dapper Gentleman's Shave Set
269,269,14,Manatee Mangrove Salad
270,270,13,Flame-Grilled Firehouse Burger
271,271,12,Fresh Scented Lemonade Blast
272,272,10,Fat Jakks Philly Cheesesteak
273,273,5,Restoration Ravioli
274,274,9,Revved-Up Ramen
275,275,12,Sweet Cinnamon Swirl Cake
276,276,9,Sakura Blossom Roll
277,277,5,Jon's Grilled Pineapple Teriyaki Chicken
278,278,6,Golden Garlic Shrimp
279,279,11,Margarita Steakhouse Salad
280,280,12,Rippy's Central Pike Collision Repair Special Burger
281,281,15,Inkredible Ink Pasta
282,282,15,Toothache Tiramisu
283,283,8,Bayou Shrimp and Grits
284,284,15,Eagle Creek Trail Mix
285,285,9,Parlor Suburban Square Delight
286,286,15,Radiant Rose Face Serum
287,287,12,Ocean Breeze Seafood Pasta
288,288,6,Sharp Cut Steakhouse
289,289,10,Savory Souvenir Box
290,290,15,Blueberry Bliss Cheesecake
291,291,7,El Diablo Quesadilla
292,292,13,Spicy Chipotle Tacos
293,293,15,Golden Sunrise Lemon Tart
294,294,13,"""Cheesy Bacon Burger"""
295,295,15,Glamour Waves Hairspray
296,296,12,Glow & Glisten Hair Serum
297,297,6,Fizzy Apple Delight
298,298,5,Bluefin Tuna Tartare
299,299,15,Skyline Sunrise Cocktail
300,300,7,Silky Smooth Hair Mask
301,301,7,Marionnette Muffins
302,302,8,Honey Sriracha Chicken Wings
303,303,13,Golden Honey Salmon
304,304,13,Sunshine Citrus Salad
305,305,10,"""Dance of the Tulle Skirt"""
306,306,12,Glowing Goddess Body Scrub
307,307,8,Black Walnut Plank Flooring
308,308,8,Sole Stir-Fry
309,309,10,Pho-tacular Noodles
310,310,7,Savory Sunset Chicken Wings
311,311,7,Walnut Crunch Chicken
312,312,12,The Radiant Reuben
313,313,14,Szechuan Pepperoni Pizza
314,314,10,Sunshine Veggie Omelette
315,315,14,Coco Cabana Glow Juice
316,316,15,Cali Chicken Wrap
317,317,10,Blackberry Basil Bliss
318,318,6,Maple Glazed Salmon
319,319,12,Pawsome Pupcakes
320,320,6,Royal Rajma Masala
321,321,15,Mediterranean Madness Gyro
322,322,10,Harmonious Hummus Bowl
323,323,14,Tiny Tots Tater Tots
324,324,9,Soothing Sole Scrub
325,325,5,Savory Cajun Gumbo
326,326,6,Sizzlin' Sirloin Delight
327,327,5,Golden Glow Candle Holder
328,328,11,Tropical Paradise Salad
329,329,7,Gleaming Garment Guacamole
330,330,5,Marino's Auto Repair: The Fixer-Upper Sandwich
331,331,7,Magical Mint Mojito Shampoo
332,332,10,Paws & Purrfection Pet Treats
333,333,8,Smoky Bacon and Jalapeno Pizza
334,334,12,Savory Seared Scallops
335,335,6,Somerdale Succulent Sandwich
336,336,11,Purr-fectly Pawsome Salmon Treats
337,337,10,Golden Honey Cashew Chicken
338,338,11,Bubbly Berry Bliss Cupcake
339,339,7,Sunset Sangria
340,340,9,"""Bacon Bomb Burger"""
341,341,10,Hoppy Harvest Salad
342,342,15,Elegant Eggplant Parmesan
343,343,11,Handcrafted Maple Serving Board
344,344,12,Sizzling Filet Mignon
345,345,13,Red Hot Chili Pepper Car Freshener
346,346,6,Smokin' Southwest Fajitas
347,347,11,Rock n' Roll Risotto
348,348,11,Roadside Reuben
349,349,15,Chorizo Street Tacos
350,350,10,Patriot's Pot Pie
351,351,6,Bayou Gumbo
352,352,11,Sizzling Fajitas Supreme
353,353,13,Blazing BBQ Pizza
354,354,10,Fusion Delight
355,355,11,Kids Krazy Chicken Tenders
356,356,8,Sizzlin' Southwest Quesadillas
357,357,13,Mazzoni's Rainbow Salad
358,358,15,Cozy Caramel Latte
359,359,8,Stout's Delight
360,360,15,On-the-Go Meatball Sub
361,361,5,Avocado Bacon Burger
362,362,14,Happy Meal Blast
363,363,5,"""Elegance Earrings"""
364,364,11,Pineapple Glazed Salmon
365,365,9,Spa Scrub Sensation
366,366,12,Crispy Crown Chicken Tenders
367,367,6,Greek Goddess Pita
368,368,14,Pound Poppers
369,369,13,Sedona Sunset Tiles
370,370,12,Camouflage Curry
371,371,7,Mango Lassi Sunrise
372,372,14,Lavender Honey Eclairs
373,373,12,Heartfelt Herbivore Bowl
374,374,7,Pepperoni Pleaser
375,375,9,Luminous Lens Glasses
376,376,10,Sizzling Sriracha Shrimp
377,377,12,Savory Maple Turkey Wrap
378,378,15,Sleek & Chic Shrimp Stir-Fry
379,379,5,Smoky Sloppy Joe Dog
380,380,8,Clean Sweep Blueberry Muffins
381,381,5,Express Care Chicken Noodle Soup
382,382,10,Crab Rangoon Pie
383,383,12,Spinning Strikes Bowl
384,384,11,Coconut Lemongrass Soup
385,385,7,Toolbox Tacos
386,386,12,Creole Creole Gumbo
387,387,15,Christopher's Crab Cakes
388,388,9,Mango Tango Smoothie.
389,389,14,Sizzling Sirloin Steak
390,390,5,Hoppy Cheesesteak Ale
391,391,11,Whimsical Wonderland Sandwiches
392,392,8,Truffle Risotto
393,393,14,Cheesy Garlic Bread Twists
394,394,7,Cyclone Car Care Grand Slam Car Wash
395,395,15,Mocha Crunch Cupcake
396,396,13,Liberty City Roasters - Freedom Blend Coffee
397,397,11,Lavender Dream Bath Salts
398,398,11,Fitness Fuel Energy Bars
399,399,14,Glowing Gemstone Earrings
400,400,12,Glowing Skin Salad
401,401,12,Femme Frittata
402,402,10,California Carnitas Street Tacos
403,403,5,Enigma Elixir
404,404,10,Cheesy Bites Pizza
405,405,7,Barbershop Burger
406,406,10,Paw-sitive Pet Platter
407,407,5,Wheelie Good Energy Bars
408,408,10,Pulled Pork Paradise
409,409,8,Boricua Beef Empanadas
410,410,10,Golden Dragon Chicken
411,411,13,Storage of America - The Patriotic Berry Pie
412,412,9,Beetle Burger
413,413,9,Zesty Zucchini Spirals
414,414,9,Purrfection Pure Salmon Cat Food
415,415,15,Royal Velvet Throw Pillow
416,416,15,Sakura Blossom Roll
417,417,5,Smile-Sparkling Salad
418,418,11,Apple Grove Harvest Salad
419,419,15,Sizzling Gladiator Skewers
420,420,12,Clear Vision Glasses
421,421,12,"""Pot o' Gold Nachos"""
422,422,11,Glowing Locks Shampoo
423,423,7,Sizzle Panini
424,424,14,Provencal Lavender Dream Hand Soap
425,425,10,"""Choco-Nut Mix"""
426,426,14,Blooming Blossom Salad
427,427,5,Viewpoint Veggie Wrap
428,428,5,Ocean's Bounty Platter
429,429,13,Shiny Fender Salad
430,430,9,Radiant Rose Gold Earrings
431,431,9,Sizzling Shrimp Tacos
432,432,14,Cheesy Garlic Knots
433,433,6,Soaring Shrimp Tacos
434,434,9,Superfood Smoothie Elixirs
435,435,5,Silken Strands Highlight Kit
436,436,7,Caribbean Jerk Chicken
437,437,8,Blaine's Heavenly Truffles
438,438,12,Artichoke Dream Boat
439,439,8,Sizzlin' Street Tacos
440,440,13,Chevron Stripe Tea Towel
441,441,14,Golden Dragon Spring Rolls
442,442,11,Savory Veggie Panini
443,443,5,Airy Delight
444,444,9,Sizzling Bourbon Shrimp
445,445,6,Scranton Cheesesteak
446,446,8,Dragon Fire Chicken
447,447,12,Sizzlin' Southwest Omelette
448,448,7,Lens Flare Lemonade
449,449,5,Draino's Drizzle Bun
450,450,6,Stride Bliss Running Shoes
451,451,8,Mic Drop Chicken Sandwich
452,452,14,Bookmark Bites
453,453,12,TechFix Phone Case
454,454,10,Pawsitively Delicious Bones
455,455,5,Wildout Critter Crunchies
456,456,6,Healing Harvest Salad
457,457,15,Rainbow Bliss Smoothie
458,458,10,Golden Dragon Dumplings
459,459,5,Gut Soothing Spiced Tea
460,460,13,Whisker-tastic Waffles
461,461,5,Golden McNuggets
462,462,5,Stuffed Bell Peppers
463,463,12,Culinary Creations
464,464,12,Sole Saver Loafers
465,465,8,Auto-Licious Chili
466,466,14,"""The Zoomin' Ziti"""
467,467,11,Granite Glazed Pork Chops
468,468,12,Zen Garden Stir-Fry
469,469,9,Temple Tantalizing Tofu Salad
470,470,15,Boise 4x4: Trailblazer Tacos
471,471,10,Sizzlin' Cali Burrito
472,472,13,Alic Motors: Turbo Pasta
473,473,7,Mediterranean Sun-dried Tomato Hummus
474,474,7,The Engraved Marvel
475,475,7,"""The Rocket Burger"""
476,476,14,Baleadas Especiales
477,477,7,Tasty Tire Pizza
478,478,12,LockGuard Security Pasta
479,479,12,El Con Health & Wellness Center - Fresh Kale Salad
480,480,10,Thai Basil Chicken Stir Fry
481,481,5,Fur-tastic Fido Refresh Package
482,482,5,Village Veggie Delight
483,483,8,Fluffy Buttermilk Pancakes
484,484,7,Blissful Hibiscus Infusion Tea
485,485,15,Protein Powerhouse Blend
486,486,6,Calm Allergy Relief Syrup
487,487,14,Luscious Lava Cake
488,488,11,Champion Style Hair Gel
489,489,7,Silky Scalp Nourishing Shampoo
490,490,10,Hair Flip Fritters
491,491,13,Green Goddess Quinoa Bowl
492,492,7,Elegant Euphoria Earrings
493,493,9,Tumbleweed Tacos
494,494,6,Pampered Paws Pet Shampoo
495,495,12,Clay Oven Delight
496,496,14,Nissan Noodle Bowl
497,497,10,Cheesy Pepperoni Pizza
498,498,15,Morales' Garden Delight
